,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
833,2022-05-04,49.45908071307033,12.727730626147718,69.5949669406954,49.45908071307033,49.45908071307033,-8.5123652875441,-8.5123652875441,-8.5123652875441,-8.669158946751827,-8.669158946751827,-8.669158946751827,0.7178717781087776,0.7178717781087776,0.7178717781087776,-0.5610781189010503,-0.5610781189010503,-0.5610781189010503,0.0,0.0,0.0,40.94671542552623
834,2022-05-05,49.591210362598545,11.553621769569423,68.21840561839709,49.58886408539415,49.5940980370437,-8.195416439381846,-8.195416439381846,-8.195416439381846,-8.669158946751827,-8.669158946751827,-8.669158946751827,0.730474997350298,0.730474997350298,0.730474997350298,-0.2567324899803172,-0.2567324899803172,-0.2567324899803172,0.0,0.0,0.0,41.3957939232167
835,2022-05-06,49.72334001212677,15.421497460511171,73.38033639196536,49.71009949382447,49.7346435551729,-5.507145232896529,-5.507145232896529,-5.507145232896529,-8.669158946751827,-8.669158946751827,-8.669158946751827,3.129989558248398,3.129989558248398,3.129989558248398,0.032024155606900015,0.032024155606900015,0.032024155606900015,0.0,0.0,0.0,44.21619477923024
836,2022-05-07,49.855469661655,12.660792073024924,66.46753042552204,49.82974869209748,49.87840851223087,-10.414369869162472,-10.414369869162472,-10.414369869162472,-8.669158946751827,-8.669158946751827,-8.669158946751827,-2.0411948705786878,-2.0411948705786878,-2.0411948705786878,0.2959839481680422,0.2959839481680422,0.2959839481680422,0.0,0.0,0.0,39.44109979249253
837,2022-05-08,49.98759931118322,8.481344132075563,66.60412497986277,49.945464396226775,50.02528829486251,-12.118323997852945,-12.118323997852945,-12.118323997852945,-8.669158946751827,-8.669158946751827,-8.669158946751827,-3.9759533004156555,-3.9759533004156555,-3.9759533004156555,0.5267882493145373,0.5267882493145373,0.5267882493145373,0.0,0.0,0.0,37.86927531333027
838,2022-05-09,50.119728960711456,15.448979287445702,70.15862459926497,50.05975445482434,50.19280657995277,-7.89581816521743,-7.89581816521743,-7.89581816521743,-8.669158946751827,-8.669158946751827,-8.669158946751827,0.05619871797534773,0.05619871797534773,0.05619871797534773,0.7171420635590477,0.7171420635590477,0.7171420635590477,0.0,0.0,0.0,42.22391079549403
839,2022-05-10,50.25185861023967,15.795900957934023,71.95082441123853,50.16855040175202,50.34809159633919,-6.425549650282665,-6.425549650282665,-6.425549650282665,-8.669158946751827,-8.669158946751827,-8.669158946751827,1.382613119326709,1.382613119326709,1.382613119326709,0.8609961771424516,0.8609961771424516,0.8609961771424516,0.0,0.0,0.0,43.826308959957004
840,2022-05-11,50.38398825976789,15.387651893916898,71.88012931327374,50.2755402096752,50.50772265303486,-6.997594882165408,-6.997594882165408,-6.997594882165408,-8.669158946751827,-8.669158946751827,-8.669158946751827,0.7178717781101326,0.7178717781101326,0.7178717781101326,0.9536922864762866,0.9536922864762866,0.9536922864762866,0.0,0.0,0.0,43.38639337760248
841,2022-05-12,50.51611790929613,13.909888216835107,71.08310050722463,50.38557573427152,50.66790983531036,-6.9466164853647445,-6.9466164853647445,-6.9466164853647445,-8.669158946751827,-8.669158946751827,-8.669158946751827,0.7304749973519988,0.7304749973519988,0.7304749973519988,0.9920674640350834,0.9920674640350834,0.9920674640350834,0.0,0.0,0.0,43.569501423931385
842,2022-05-13,50.648247558824366,19.393167968834113,74.62253004684898,50.48025514484502,50.826057264914986,-4.564653898188858,-4.564653898188858,-4.564653898188858,-8.669158946751827,-8.669158946751827,-8.669158946751827,3.1299895582441604,3.1299895582441604,3.1299895582441604,0.9745154903188075,0.9745154903188075,0.9745154903188075,0.0,0.0,0.0,46.08359366063551
843,2022-05-14,50.78037720835256,14.405201426479328,69.3631153596165,50.57640190983638,50.98712926788978,-9.809349994623489,-9.809349994623489,-9.809349994623489,-8.669158946751827,-8.669158946751827,-8.669158946751827,-2.041194870581604,-2.041194870581604,-2.041194870581604,0.9010038227099425,0.9010038227099425,0.9010038227099425,0.0,0.0,0.0,40.97102721372907
844,2022-05-15,50.9125068578808,8.133874526880795,67.14619005967525,50.68843578895436,51.13971827243571,-11.872066007746364,-11.872066007746364,-11.872066007746364,-8.669158946751827,-8.669158946751827,-8.669158946751827,-3.9759533004109713,-3.9759533004109713,-3.9759533004109713,0.7730462394164342,0.7730462394164342,0.7730462394164342,0.0,0.0,0.0,39.04044085013444
845,2022-05-16,51.04463650740904,14.666042591627974,69.02608679182603,50.78755192977987,51.30233783413519,-8.019327775894633,-8.019327775894633,-8.019327775894633,-8.669158946751827,-8.669158946751827,-8.669158946751827,0.05619871797970565,0.05619871797970565,0.05619871797970565,0.5936324528774884,0.5936324528774884,0.5936324528774884,0.0,0.0,0.0,43.02530873151441
846,2022-05-17,51.176766156937276,15.766337001302922,72.09984820286247,50.89708088270834,51.47065132776486,-6.919428631279604,-6.919428631279604,-6.919428631279604,-8.669158946751827,-8.669158946751827,-8.669158946751827,1.3826131193286904,1.3826131193286904,1.3826131193286904,0.3671171961435322,0.3671171961435322,0.3671171961435322,0.0,0.0,0.0,44.257337525657675
