,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
767,2022-02-27,97565.37895245569,98483.5357871562,99172.89562703749,97565.37895245569,97565.37895245569,1261.562737948454,1261.562737948454,1261.562737948454,-466.18051295061696,-466.18051295061696,-466.18051295061696,-29.102227650160927,-29.102227650160927,-29.102227650160927,1756.8454785492318,1756.8454785492318,1756.8454785492318,0.0,0.0,0.0,98826.94169040414
768,2022-02-28,97658.38747482341,98567.93227142691,99253.5999235128,97658.38747482341,97658.38747482341,1249.2712963435004,1249.2712963435004,1249.2712963435004,-466.18051295061696,-466.18051295061696,-466.18051295061696,-52.64331276886302,-52.64331276886302,-52.64331276886302,1768.09512206298,1768.09512206298,1768.09512206298,0.0,0.0,0.0,98907.65877116691
769,2022-03-01,97751.39599719112,98660.98941128298,99382.56263710964,97751.39599719112,97751.39599719112,1287.8973012827676,1287.8973012827676,1287.8973012827676,-466.18051295061696,-466.18051295061696,-466.18051295061696,-21.758825555772628,-21.758825555772628,-21.758825555772628,1775.836639789157,1775.836639789157,1775.836639789157,0.0,0.0,0.0,99039.29329847389
770,2022-03-02,97844.40451955884,98837.54489375104,99515.69121580952,97844.40451955884,97844.40451955884,1320.2599363639258,1320.2599363639258,1320.2599363639258,-466.18051295061696,-466.18051295061696,-466.18051295061696,6.796048847995507,6.796048847995507,6.796048847995507,1779.644400466547,1779.644400466547,1779.644400466547,0.0,0.0,0.0,99164.66445592277
771,2022-03-03,97937.41304192657,98954.51522785459,99624.37770887202,97937.41304192657,97937.41304192657,1344.2296853562077,1344.2296853562077,1344.2296853562077,-466.18051295061696,-466.18051295061696,-466.18051295061696,31.289875179112524,31.289875179112524,31.289875179112524,1779.1203231277123,1779.1203231277123,1779.1203231277123,0.0,0.0,0.0,99281.64272728279
772,2022-03-04,98030.42156429429,99024.27041331981,99740.81864926999,98030.42156429429,98030.42156429429,1350.9420757043868,1350.9420757043868,1350.9420757043868,-466.18051295061696,-466.18051295061696,-466.18051295061696,43.21978473911795,43.21978473911795,43.21978473911795,1773.9028039158854,1773.9028039158854,1773.9028039158854,0.0,0.0,0.0,99381.36363999867
773,2022-03-05,98123.430086662,99065.21285477433,99798.60167884779,98123.430086662,98123.430086662,1319.6928628829942,1319.6928628829942,1319.6928628829942,-466.18051295061696,-466.18051295061696,-466.18051295061696,22.198657208703942,22.198657208703942,22.198657208703942,1763.674718624907,1763.674718624907,1763.674718624907,0.0,0.0,0.0,99443.122949545
774,2022-03-06,98216.43860902972,99114.44720647292,99819.02900305303,98216.43860902972,98216.43860902972,1252.8875768103983,1252.8875768103983,1252.8875768103983,-466.18051295061696,-466.18051295061696,-466.18051295061696,-29.10222765020452,-29.10222765020452,-29.10222765020452,1748.1703174112195,1748.1703174112195,1748.1703174112195,0.0,0.0,0.0,99469.32618584012
775,2022-03-07,98309.44713139744,99172.69262211138,99861.98669680099,98309.44713139744,98309.44713139744,1208.3570333498133,1208.3570333498133,1208.3570333498133,-466.18051295061696,-466.18051295061696,-466.18051295061696,-52.64331276885123,-52.64331276885123,-52.64331276885123,1727.1808590692815,1727.1808590692815,1727.1808590692815,0.0,0.0,0.0,99517.80416474724
776,2022-03-08,98402.45565376515,99266.47776120965,99949.2209758258,98402.45565376515,98402.45565376515,1212.6195281577461,1212.6195281577461,1212.6195281577461,-466.18051295061696,-466.18051295061696,-466.18051295061696,-21.75882555574481,-21.75882555574481,-21.75882555574481,1700.558866664108,1700.558866664108,1700.558866664108,0.0,0.0,0.0,99615.0751819229
